page_id,catalog_id,label
argos-23426c3985d6e24911336f3d8106409b,camera_001,0
argos-23426c3985d6e24911336f3d8106409b,camera_002,0
argos-23426c3985d6e24911336f3d8106409b,camera_003,0
argos-23426c3985d6e24911336f3d8106409b,camera_004,0
argos-23426c3985d6e24911336f3d8106409b,camera_005,0
argos-23426c3985d6e24911336f3d8106409b,camera_006,0
argos-23426c3985d6e24911336f3d8106409b,camera_007,0
argos-23426c3985d6e24911336f3d8106409b,camera_008,0
argos-23426c3985d6e24911336f3d8106409b,camera_009,0
argos-23426c3985d6e24911336f3d8106409b,camera_010,0
argos-23426c3985d6e24911336f3d8106409b,camera_011,0
argos-23426c3985d6e24911336f3d8106409b,camera_012,0
argos-23426c3985d6e24911336f3d8106409b,camera_013,0
argos-23426c3985d6e24911336f3d8106409b,camera_014,0
argos-23426c3985d6e24911336f3d8106409b,camera_015,0
argos-23426c3985d6e24911336f3d8106409b,camera_016,0
argos-23426c3985d6e24911336f3d8106409b,camera_017,0
argos-23426c3985d6e24911336f3d8106409b,camera_018,0
argos-23426c3985d6e24911336f3d8106409b,camera_019,0
argos-23426c3985d6e24911336f3d8106409b,camera_020,0
argos-23426c3985d6e24911336f3d8106409b,camera_021,0
argos-23426c3985d6e24911336f3d8106409b,camera_022,0
argos-23426c3985d6e24911336f3d8106409b,camera_023,0
argos-23426c3985d6e24911336f3d8106409b,camera_024,0
argos-23426c3985d6e24911336f3d8106409b,camera_025,0
argos-23426c3985d6e24911336f3d8106409b,camera_026,0
argos-23426c3985d6e24911336f3d8106409b,camera_027,0
argos-23426c3985d6e24911336f3d8106409b,camera_028,0
argos-23426c3985d6e24911336f3d8106409b,camera_029,0
argos-23426c3985d6e24911336f3d8106409b,camera_030,0
argos-23426c3985d6e24911336f3d8106409b,camera_031,0
argos-23426c3985d6e24911336f3d8106409b,camera_032,0
argos-23426c3985d6e24911336f3d8106409b,camera_033,0
argos-23426c3985d6e24911336f3d8106409b,camera_034,0
argos-23426c3985d6e24911336f3d8106409b,camera_035,0
argos-23426c3985d6e24911336f3d8106409b,camera_036,0
argos-23426c3985d6e24911336f3d8106409b,camera_037,0
argos-23426c3985d6e24911336f3d8106409b,camera_038,0
argos-23426c3985d6e24911336f3d8106409b,camera_039,0
argos-23426c3985d6e24911336f3d8106409b,camera_040,1
argos-23426c3985d6e24911336f3d8106409b,camera_041,0
argos-23426c3985d6e24911336f3d8106409b,camera_042,0
argos-23426c3985d6e24911336f3d8106409b,camera_043,0
argos-23426c3985d6e24911336f3d8106409b,camera_044,0
argos-23426c3985d6e24911336f3d8106409b,camera_045,0
argos-23426c3985d6e24911336f3d8106409b,camera_046,0
argos-23426c3985d6e24911336f3d8106409b,camera_047,0
argos-23426c3985d6e24911336f3d8106409b,camera_048,0
argos-23426c3985d6e24911336f3d8106409b,camera_049,0
argos-23426c3985d6e24911336f3d8106409b,camera_050,0
argos-589ec2ad7ef7121ac4bc2bfc3d0129e8,camera_001,0
argos-589ec2ad7ef7121ac4bc2bfc3d0129e8,camera_002,0
argos-589ec2ad7ef7121ac4bc2bfc3d0129e8,camera_003,0
argos-589ec2ad7ef7121ac4bc2bfc3d0129e8,camera_004,0
argos-589ec2ad7ef7121ac4bc2bfc3d0129e8,camera_005,0
argos-589ec2ad7ef7121ac4bc2bfc3d0129e8,camera_006,0
argos-589ec2ad7ef7121ac4bc2bfc3d0129e8,camera_007,0
argos-589ec2ad7ef7121ac4bc2bfc3d0129e8,camera_008,0
argos-589ec2ad7ef7121ac4bc2bfc3d0129e8,camera_009,0
argos-589ec2ad7ef7121ac4bc2bfc3d0129e8,camera_010,0
argos-589ec2ad7ef7121ac4bc2bfc3d0129e8,camera_011,0
argos-589ec2ad7ef7121ac4bc2bfc3d0129e8,camera_012,0
argos-589ec2ad7ef7121ac4bc2bfc3d0129e8,camera_013,0
argos-589ec2ad7ef7121ac4bc2bfc3d0129e8,camera_014,0
argos-589ec2ad7ef7121ac4bc2bfc3d0129e8,camera_015,0
argos-589ec2ad7ef7121ac4bc2bfc3d0129e8,camera_016,0
argos-589ec2ad7ef7121ac4bc2bfc3d0129e8,camera_017,0
